API名称,语言,SDK变更版本,影响版本,标题,代码位置,修复状态,变更类型
declare const NavDestination: NavDestinationInterface,ArkTS,5.0.1(13) Release,5.0.1(13) - 6.1.0(23),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-b112#navdestination%E7%9A%84dialog%E6%A8%A1%E5%BC%8F%E9%BB%98%E8%AE%A4%E6%94%AF%E6%8C%81%E7%B3%BB%E7%BB%9F%E5%8A%A8%E7%94%BB"",""NavDestination的Dialog模式默认支持系统动画"")",default\src\main\ets\pages\SettingPage\Options.ets:118,已修复,UX视觉布局变更
declare const NavDestination: NavDestinationInterface,ArkTS,5.0.1(13) Release,5.0.1(13) - 6.1.0(23),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-b112#navdestination%E7%9A%84dialog%E6%A8%A1%E5%BC%8F%E9%BB%98%E8%AE%A4%E6%94%AF%E6%8C%81%E7%B3%BB%E7%BB%9F%E5%8A%A8%E7%94%BB"",""NavDestination的Dialog模式默认支持系统动画"")",default\src\main\ets\pages\SettingPage\PrivacyPolicy.ets:14,已修复,UX视觉布局变更
declare const NavDestination: NavDestinationInterface,ArkTS,5.0.1(13) Release,5.0.1(13) - 6.1.0(23),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-b112#navdestination%E7%9A%84dialog%E6%A8%A1%E5%BC%8F%E9%BB%98%E8%AE%A4%E6%94%AF%E6%8C%81%E7%B3%BB%E7%BB%9F%E5%8A%A8%E7%94%BB"",""NavDestination的Dialog模式默认支持系统动画"")",default\src\main\ets\sub_pages\text_marquee\TextMarquee.ets:81,已修复,UX视觉布局变更
declare interface AnimateParam,ArkTS,5.0.1(13) Beta3,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-b106#%E5%B1%9E%E6%80%A7%E5%8A%A8%E7%94%BBonfinish%E7%BB%93%E6%9D%9F%E5%9B%9E%E8%B0%83%E5%9C%A8uiability%E9%80%80%E5%90%8E%E5%8F%B0%E6%97%B6%E5%9B%A0%E6%9C%89%E9%99%90%E5%BE%AA%E7%8E%AF%E5%8A%A8%E7%94%BB%E8%A2%AB%E7%BB%88%E6%AD%A2%E8%80%8C%E6%8F%90%E5%89%8D%E8%A7%A6%E5%8F%91"",""属性动画onFinish结束回调在UIAbility退后台时因有限循环动画被终止而提前触发"")",default\src\main\ets\design_privew\spare.ets:120,已修复,UX交互行为变更
declare interface AnimateParam,ArkTS,5.0.1(13) Beta3,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-b106#%E5%B1%9E%E6%80%A7%E5%8A%A8%E7%94%BBonfinish%E7%BB%93%E6%9D%9F%E5%9B%9E%E8%B0%83%E5%9C%A8uiability%E9%80%80%E5%90%8E%E5%8F%B0%E6%97%B6%E5%9B%A0%E6%9C%89%E9%99%90%E5%BE%AA%E7%8E%AF%E5%8A%A8%E7%94%BB%E8%A2%AB%E7%BB%88%E6%AD%A2%E8%80%8C%E6%8F%90%E5%89%8D%E8%A7%A6%E5%8F%91"",""属性动画onFinish结束回调在UIAbility退后台时因有限循环动画被终止而提前触发"")",default\src\main\ets\form_cards\ABCDCard.ets:51,已修复,UX交互行为变更
declare interface AnimateParam,ArkTS,5.0.1(13) Beta3,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-b106#%E5%B1%9E%E6%80%A7%E5%8A%A8%E7%94%BBonfinish%E7%BB%93%E6%9D%9F%E5%9B%9E%E8%B0%83%E5%9C%A8uiability%E9%80%80%E5%90%8E%E5%8F%B0%E6%97%B6%E5%9B%A0%E6%9C%89%E9%99%90%E5%BE%AA%E7%8E%AF%E5%8A%A8%E7%94%BB%E8%A2%AB%E7%BB%88%E6%AD%A2%E8%80%8C%E6%8F%90%E5%89%8D%E8%A7%A6%E5%8F%91"",""属性动画onFinish结束回调在UIAbility退后台时因有限循环动画被终止而提前触发"")",default\src\main\ets\form_cards\ABCDCard.ets:70,已修复,UX交互行为变更
declare interface AnimateParam,ArkTS,5.0.1(13) Beta3,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-b106#%E5%B1%9E%E6%80%A7%E5%8A%A8%E7%94%BBonfinish%E7%BB%93%E6%9D%9F%E5%9B%9E%E8%B0%83%E5%9C%A8uiability%E9%80%80%E5%90%8E%E5%8F%B0%E6%97%B6%E5%9B%A0%E6%9C%89%E9%99%90%E5%BE%AA%E7%8E%AF%E5%8A%A8%E7%94%BB%E8%A2%AB%E7%BB%88%E6%AD%A2%E8%80%8C%E6%8F%90%E5%89%8D%E8%A7%A6%E5%8F%91"",""属性动画onFinish结束回调在UIAbility退后台时因有限循环动画被终止而提前触发"")",default\src\main\ets\form_cards\BaGuaCard.ets:14,已修复,UX交互行为变更
declare interface AnimateParam,ArkTS,5.0.1(13) Beta3,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-b106#%E5%B1%9E%E6%80%A7%E5%8A%A8%E7%94%BBonfinish%E7%BB%93%E6%9D%9F%E5%9B%9E%E8%B0%83%E5%9C%A8uiability%E9%80%80%E5%90%8E%E5%8F%B0%E6%97%B6%E5%9B%A0%E6%9C%89%E9%99%90%E5%BE%AA%E7%8E%AF%E5%8A%A8%E7%94%BB%E8%A2%AB%E7%BB%88%E6%AD%A2%E8%80%8C%E6%8F%90%E5%89%8D%E8%A7%A6%E5%8F%91"",""属性动画onFinish结束回调在UIAbility退后台时因有限循环动画被终止而提前触发"")",default\src\main\ets\form_cards\BaGuaCard.ets:20,已修复,UX交互行为变更
declare interface AnimateParam,ArkTS,5.0.1(13) Beta3,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-b106#%E5%B1%9E%E6%80%A7%E5%8A%A8%E7%94%BBonfinish%E7%BB%93%E6%9D%9F%E5%9B%9E%E8%B0%83%E5%9C%A8uiability%E9%80%80%E5%90%8E%E5%8F%B0%E6%97%B6%E5%9B%A0%E6%9C%89%E9%99%90%E5%BE%AA%E7%8E%AF%E5%8A%A8%E7%94%BB%E8%A2%AB%E7%BB%88%E6%AD%A2%E8%80%8C%E6%8F%90%E5%89%8D%E8%A7%A6%E5%8F%91"",""属性动画onFinish结束回调在UIAbility退后台时因有限循环动画被终止而提前触发"")",default\src\main\ets\form_cards\BlessingMuyuCard.ets:45,已修复,UX交互行为变更
declare interface AnimateParam,ArkTS,5.0.1(13) Beta3,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-b106#%E5%B1%9E%E6%80%A7%E5%8A%A8%E7%94%BBonfinish%E7%BB%93%E6%9D%9F%E5%9B%9E%E8%B0%83%E5%9C%A8uiability%E9%80%80%E5%90%8E%E5%8F%B0%E6%97%B6%E5%9B%A0%E6%9C%89%E9%99%90%E5%BE%AA%E7%8E%AF%E5%8A%A8%E7%94%BB%E8%A2%AB%E7%BB%88%E6%AD%A2%E8%80%8C%E6%8F%90%E5%89%8D%E8%A7%A6%E5%8F%91"",""属性动画onFinish结束回调在UIAbility退后台时因有限循环动画被终止而提前触发"")",default\src\main\ets\form_cards\BlessingMuyuCard.ets:47,已修复,UX交互行为变更
